"Model","Scenario","Region","Fuel","Period","Rate","Size","Category","Type"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5REF","Gas","2020-2030",0.0739070570055978,2310.14313,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","R5REF","Oil","2020-2030",0.00230884395461678,2310.14313,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","World","Total","2020-2030",0.238778293385884,30096.92145,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","World","Coal","2020-2030",-0.00927079271092686,30096.92145,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","World","Gas","2020-2030",0.0354835806636961,30096.92145,"L2C","2C"
"AIM/CGE 2.0","ADVANCE_2030_WB2C","World","Oil","2020-2030",0.00564979312859256,30096.92145,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5ASIA","Total","2020-2030",0.412467736807789,10310.99148,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5ASIA","Coal","2020-2030",-0.306358879854297,10310.99148,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5ASIA","Gas","2020-2030",0.00434037600426763,10310.99148,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5ASIA","Oil","2020-2030",0.000517288760285154,10310.99148,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5LAM","Total","2020-2030",0.402829455779531,2038.24638,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5LAM","Coal","2020-2030",-0.0240421965081572,2038.24638,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5LAM","Gas","2020-2030",-0.00173092911368254,2038.24638,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5LAM","Oil","2020-2030",-0.0142699431655559,2038.24638,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5MAF","Total","2020-2030",0.456364305879465,2376.39843,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5MAF","Coal","2020-2030",-0.0861433072062752,2376.39843,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5MAF","Gas","2020-2030",-0.103619795776418,2376.39843,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5MAF","Oil","2020-2030",-0.0332462431394554,2376.39843,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5OECD90+EU","Total","2020-2030",0.243704580023661,14793.6834,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5OECD90+EU","Coal","2020-2030",-0.24647813268736,14793.6834,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5OECD90+EU","Gas","2020-2030",0.000142714964415156,14793.6834,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5OECD90+EU","Oil","2020-2030",-0.0108031472405311,14793.6834,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5REF","Total","2020-2030",0.649157296964444,3045.17415,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5REF","Coal","2020-2030",-0.0725705293406619,3045.17415,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5REF","Gas","2020-2030",-0.112044153533879,3045.17415,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","R5REF","Oil","2020-2030",-0.00377676922024312,3045.17415,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","World","Total","2020-2030",0.360534656852312,32564.50773,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","World","Coal","2020-2030",-0.223552831209956,32564.50773,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","World","Gas","2020-2030",-0.0167083465382389,32564.50773,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_Bio_1p5Degree","World","Oil","2020-2030",-0.00841388858912746,32564.50773,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5ASIA","Total","2020-2030",0.354193717500899,9114.22908,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5ASIA","Coal","2020-2030",-0.317819108404504,9114.22908,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5ASIA","Gas","2020-2030",0.00216406673859904,9114.22908,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5ASIA","Oil","2020-2030",0.000627884152325911,9114.22908,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5LAM","Total","2020-2030",0.368344365962797,1877.99745,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5LAM","Coal","2020-2030",-0.0232535779002256,1877.99745,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5LAM","Gas","2020-2030",0.00082837173181468,1877.99745,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5LAM","Oil","2020-2030",-0.0110203025036056,1877.99745,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5MAF","Total","2020-2030",0.410646287980252,2115.66924,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5MAF","Coal","2020-2030",-0.0869639433808661,2115.66924,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5MAF","Gas","2020-2030",-0.104453898474225,2115.66924,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5MAF","Oil","2020-2030",-0.031526563197563,2115.66924,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5OECD90+EU","Total","2020-2030",0.214310252538568,13908.77928,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5OECD90+EU","Coal","2020-2030",-0.25199330505157,13908.77928,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5OECD90+EU","Gas","2020-2030",-0.00273630052169469,13908.77928,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5OECD90+EU","Oil","2020-2030",-0.0105397502576517,13908.77928,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5REF","Total","2020-2030",0.640499661374069,2768.76315,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5REF","Coal","2020-2030",-0.0752602402989942,2768.76315,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5REF","Gas","2020-2030",-0.107015827626859,2768.76315,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","R5REF","Oil","2020-2030",-0.00308024180399829,2768.76315,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","World","Total","2020-2030",0.320389408956816,29785.41042,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","World","Coal","2020-2030",-0.229561206093329,29785.41042,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","World","Gas","2020-2030",-0.017932472726357,29785.41042,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_1p5Degree","World","Oil","2020-2030",-0.00794636020328505,29785.41042,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5ASIA","Total","2020-2030",0.181335623647494,8247.95145,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5ASIA","Coal","2020-2030",-0.139783262182029,8247.95145,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5ASIA","Gas","2020-2030",0.00677326731839577,8247.95145,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5ASIA","Oil","2020-2030",0.00906358147876828,8247.95145,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5LAM","Total","2020-2030",0.205768010800787,1707.83106,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5LAM","Coal","2020-2030",-0.0106706573189973,1707.83106,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5LAM","Gas","2020-2030",0.0127039380581356,1707.83106,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5LAM","Oil","2020-2030",0.000439188639653865,1707.83106,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5MAF","Total","2020-2030",0.197277493149053,1865.26032,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5MAF","Coal","2020-2030",-0.046452400810199,1865.26032,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5MAF","Gas","2020-2030",0.0107232217323961,1865.26032,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5MAF","Oil","2020-2030",0.017320981770523,1865.26032,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5OECD90+EU","Total","2020-2030",0.102028100663084,13085.94957,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5OECD90+EU","Coal","2020-2030",-0.133075331727723,13085.94957,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5OECD90+EU","Gas","2020-2030",-0.0066870959216145,13085.94957,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5OECD90+EU","Oil","2020-2030",-0.0027958429615131,13085.94957,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5REF","Total","2020-2030",0.294217248173023,2206.69041,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5REF","Coal","2020-2030",-0.0344938282484311,2206.69041,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5REF","Gas","2020-2030",0.012299441678364,2206.69041,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","R5REF","Oil","2020-2030",0.00292064531154599,2206.69041,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","World","Total","2020-2030",0.154882078987637,27113.65503,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","World","Coal","2020-2030",-0.113423636046018,27113.65503,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","World","Gas","2020-2030",0.00137190725333206,27113.65503,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_EEEI_2Degree","World","Oil","2020-2030",0.00286676362570806,27113.65503,"H2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_1p5Degree","R5ASIA","Total","2020-2030",0.376872416897654,9796.68645,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_1p5Degree","R5ASIA","Coal","2020-2030",-0.3130106833214,9796.68645,"L2C","2C"
"AIM/CGE 2.0","SFCM_SSP2_LifeStyle_1p5Degree","R5ASIA","Gas","2020-2030",0.00585278709210908,9796.68645,"L2C","2C"
